exp_group,experiment,feature_set,feature_set_label,model,horizon,seg_type,segment,RMSE,MAE,sMAPE,med_node_RMSE,n_keywords
ablation_tensors,core_geo,core_geo,Core + Geo,DCRNN,1,tercile,Low,0.7465333721522834,0.5006056200482459,17.24015529488627,0.5391515419396079,604
ablation_tensors,core_geo,core_geo,Core + Geo,GConvLSTM,1,tercile,Low,0.7598768589453584,0.5121510434583665,17.81238332817434,0.5476061515828344,604
ablation_tensors,core_geo,core_geo,Core + Geo,GraphWaveNet,1,tercile,Low,0.7451058287284044,0.4984714046214284,17.133815473507266,0.5426293768194812,604
ablation2_tensors,core_geo_search,core_geo_search,Core + Geo + Search,AGCRN,1,tercile,Low,0.7681571357530478,0.5242229299880858,18.324068080000938,0.5643663750384182,604
ablation2_tensors,core_geo_search,core_geo_search,Core + Geo + Search,DCRNN,1,tercile,Low,0.7504556802376665,0.5066678890201963,17.521076955793255,0.5393945090009716,604
ablation2_tensors,core_geo_search,core_geo_search,Core + Geo + Search,GConvLSTM,1,tercile,Low,0.7621101914260839,0.5199525380679719,18.322854981133577,0.5595868359313145,604
ablation2_tensors,core_geo_search,core_geo_search,Core + Geo + Search,GraphWaveNet,1,tercile,Low,0.7419419617461138,0.4957963640735644,17.193766796912495,0.5349259438251457,604
ablation2_tensors,core_geo_sem_pc,core_geo_sem_pc,Core + Geo + Sem PC,AGCRN,1,tercile,Low,0.7731748764421231,0.5302167379297961,18.372377842124965,0.5692518782339329,604
ablation2_tensors,core_geo_sem_pc,core_geo_sem_pc,Core + Geo + Sem PC,DCRNN,1,tercile,Low,0.7451054410237159,0.4996055451800648,17.199419013484775,0.5336284493974388,604
ablation2_tensors,core_geo_sem_pc,core_geo_sem_pc,Core + Geo + Sem PC,GConvLSTM,1,tercile,Low,0.7657712315038702,0.5204945024360574,18.0978841768128,0.5516466793869393,604
ablation2_tensors,core_geo_sem_pc,core_geo_sem_pc,Core + Geo + Sem PC,GraphWaveNet,1,tercile,Low,0.7535105389446847,0.5062175219957812,17.34027637044882,0.5459881884269862,604
ablation_tensors,core_lags,core_lags,Core + Lags,AGCRN,1,tercile,Low,0.793935046813354,0.5401280469711108,18.635537156915806,0.5796416292110544,604
ablation_tensors,core_lags,core_lags,Core + Lags,DCRNN,1,tercile,Low,0.744141769641947,0.5000589796148456,17.34201997680972,0.5334289802354945,604
ablation_tensors,core_lags,core_lags,Core + Lags,GConvLSTM,1,tercile,Low,0.7804335465262195,0.5275247336892627,18.165853975069123,0.555166181323465,604
ablation_tensors,core_lags,core_lags,Core + Lags,GraphWaveNet,1,tercile,Low,0.7548445667176917,0.507741644503982,17.287866120986912,0.5516128835959544,604
ablation_tensors,core_only,core_only,Core (CPC only),DCRNN,1,tercile,Low,0.7435219310050358,0.4989452614306709,17.278458175016294,0.5337359854836602,604
