exp_group,experiment,feature_set,feature_set_label,model,RMSE_h1,RMSE_h6,RMSE_h12,MAE_h1,MAE_h6,MAE_h12,sMAPE_h1,sMAPE_h6,sMAPE_h12,med_node_RMSE_h1,med_node_RMSE_h6,med_node_RMSE_h12,n_keywords_h1,n_keywords_h6,n_keywords_h12
ablation_tensors,core_dtw,core_dtw,Core + DTW,DCRNN,1.186324925897376,1.400987791882968,1.6458053969310364,0.6942914704766726,0.8439775680375676,1.082303422086391,25.880324107250193,30.995288814687743,38.87416528426549,0.6840026927043144,0.7488168455636455,0.703759940147306,1811.0,1811.0,1811.0
ablation_tensors,core_dtw,core_dtw,Core + DTW,GConvLSTM,,1.4504281792977263,1.9985437605104797,,0.8884022892282133,1.323439129521348,,32.22965965454468,47.84507144508235,,0.80961982123014,0.9137572074075215,,1811.0,1811.0
ablation_tensors,core_dtw,core_dtw,Core + DTW,GraphWaveNet,,1.379914112630884,1.6120534527546648,,0.8404997774207824,1.0430486055703354,,31.124122680538154,37.90903773226962,,0.7805428973658379,0.6564399812771986,,1811.0,1811.0
ablation_tensors,core_geo,core_geo,Core + Geo,AGCRN,1.2085549542404843,1.343670713230563,1.5629420697902634,0.7178181539241959,0.8224224269825529,1.0423429389338845,26.76656352316168,30.83164850288344,38.11965124229844,0.7183820890117816,0.7441110357202103,0.684397485878181,1811.0,1811.0,1811.0
ablation_tensors,core_geo,core_geo,Core + Geo,DCRNN,1.1855658211749955,1.3839964412078267,1.640431902426929,0.6951480424467555,0.8335714164082594,1.042960903568976,25.884116737055496,30.86723070673536,38.88553713712209,0.6846996886142208,0.7328504541781207,0.6637329331595392,1811.0,1811.0,1811.0
ablation_tensors,core_geo,core_geo,Core + Geo,GConvLSTM,1.2103608728076343,1.4070006355050877,1.601420523921,0.7043389066942941,0.8470720490952796,1.0421520778185882,26.336934203929495,31.268729788430207,37.89795831759244,0.6851551179465234,0.7643118090746568,0.6868024512788575,1811.0,1811.0,1811.0
ablation_tensors,core_geo,core_geo,Core + Geo,GraphWaveNet,1.1838868720666031,1.3660110005944073,1.6365994032831508,0.692770041458736,0.8132344838508359,1.042794989635081,25.774370156716614,30.34167167676501,38.08508953264953,0.682920094187448,0.7306103220000618,0.6573313006176631,1811.0,1811.0,1811.0
ablation2_tensors,core_geo_search,core_geo_search,Core + Geo + Search,AGCRN,1.2042993697903988,1.3542698422878632,1.560028165204584,0.7200783082921687,0.8387567709452584,1.0475361829994618,26.832310341581326,31.200163295431558,38.25052063490374,0.7080135200384814,0.7773866043719317,0.680089015696062,1811.0,1811.0,1811.0
ablation2_tensors,core_geo_search,core_geo_search,Core + Geo + Search,DCRNN,1.1825326411604513,1.3758247707870035,1.6075705685427635,0.6976853694589488,0.8338400333252454,1.0264701924685362,26.01132182880277,31.10986036737649,37.872238592853996,0.6889156271066391,0.7533608881704297,0.6519298154473874,1811.0,1811.0,1811.0
ablation2_tensors,core_geo_search,core_geo_search,Core + Geo + Search,GConvLSTM,1.2131894386574613,1.408851623097385,1.6549293465752466,0.7101580402686184,0.8518406021001578,1.074715604925529,26.728996633631596,31.32711649178594,38.730477667479654,0.6892759416608233,0.7732110844304037,0.7077874200044096,1811.0,1811.0,1811.0
ablation2_tensors,core_geo_search,core_geo_search,Core + Geo + Search,GraphWaveNet,1.179434522466052,1.3406221405630143,1.6617874380820477,0.6890396329599822,0.8028269595487605,1.052789531573224,25.7237485870405,30.14564200275617,38.220960934834984,0.6809490363641808,0.7241228448378977,0.6599169641526614,1811.0,1811.0,1811.0
ablation2_tensors,core_geo_sem_pc,core_geo_sem_pc,Core + Geo + Sem PC,AGCRN,1.2147442072040542,1.3690644154098417,1.6273795930264074,0.7263112759016737,0.8255040205957552,1.1034480846618375,26.945818293343653,30.77574376893625,39.50835504789333,0.713438315259152,0.7439046310924042,0.7378010687858318,1811.0,1811.0,1811.0
ablation2_tensors,core_geo_sem_pc,core_geo_sem_pc,Core + Geo + Sem PC,DCRNN,1.1852271186701684,1.3443240152444733,1.61097841556803,0.6932987578434033,0.8164490379666248,1.0403236100530973,25.829736654467293,30.354518739486863,38.442486736630514,0.6775401193223111,0.7352459847135429,0.6778467561904353,1811.0,1811.0,1811.0
ablation2_tensors,core_geo_sem_pc,core_geo_sem_pc,Core + Geo + Sem PC,GConvLSTM,1.2208596575632482,1.39179864789166,1.6035627209582146,0.7116312770392021,0.8362051075719115,1.0399283864759314,26.559627363972766,30.783700627477785,37.593706099704214,0.6916732873976327,0.7635286222642745,0.6762839474810454,1811.0,1811.0,1811.0
ablation2_tensors,core_geo_sem_pc,core_geo_sem_pc,Core + Geo + Sem PC,GraphWaveNet,1.1900989144866216,1.405991921255124,1.6668720332654368,0.7006605872325388,0.8336777466190284,1.0563106071169095,25.989718476332733,30.914574820110374,38.391368436672394,0.6985506736849648,0.7524600174905915,0.6775781996351933,1811.0,1811.0,1811.0
ablation_tensors,core_lags,core_lags,Core + Lags,AGCRN,1.244015027585086,1.3862182307704005,1.6667088800320162,0.7390059740227785,0.851726489107824,1.0686649056724775,27.297932383080077,31.530772700159154,38.83990815417689,0.727766427224177,0.7771067380352421,0.6711953966869151,1811.0,1811.0,1811.0
ablation_tensors,core_lags,core_lags,Core + Lags,DCRNN,1.1921279021996485,1.4829933604215422,1.6533502314089532,0.6985537185588103,0.8754582709073345,1.0776604621888124,26.128495561469435,31.886594686411772,40.38441775136664,0.6807782082062122,0.7474071046269376,0.6745205914158967,1811.0,1811.0,1811.0
ablation_tensors,core_lags,core_lags,Core + Lags,GConvLSTM,1.27842010873454,1.5350451647327081,1.716769280026672,0.7324518383070203,0.9025279065793997,1.0597440930012387,26.913580139544425,32.88395762851506,38.53768594007271,0.6976238749484384,0.7806684312697763,0.6270915722217132,1811.0,1811.0,1811.0
ablation_tensors,core_lags,core_lags,Core + Lags,GraphWaveNet,1.2154353173985424,1.4404668339316085,1.6608309209774266,0.7038260381605899,0.8391662312379472,1.0454244361578535,26.07567110832908,30.811778529396673,37.97747454270683,0.6938099096752776,0.7288998246497687,0.6153015487039992,1811.0,1811.0,1811.0
ablation_tensors,core_only,core_only,Core (CPC only),AGCRN,,,1.6123917892628183,,,1.0362643890713816,,,38.0243007919473,,,0.6554505881631665,,,1811.0
