exp_group,experiment,model,horizon,seg_type,segment,RMSE,MAE,sMAPE,med_node_RMSE,n_keywords,feature_set,feature_set_label
ablation2_tensors,core_geo_search,GConvLSTM,6,tercile,Medium,1.2338404818731572,0.833338507794888,30.460002766668264,0.8286483676266477,603,core_geo_search,Core + Geo + Search
ablation2_tensors,core_geo_search,GConvLSTM,6,tercile,High,1.9041596936991851,1.0782430731239332,40.86964026321098,0.9385960866241927,604,core_geo_search,Core + Geo + Search
ablation2_tensors,core_geo_search,GConvLSTM,6,quadrant,Low CPC / Low Vol,0.6405971526807082,0.4497975758674715,25.2177115318175,0.43277365725167066,401,core_geo_search,Core + Geo + Search
ablation2_tensors,core_geo_search,GConvLSTM,6,quadrant,Low CPC / High Vol,0.8958391595999072,0.6076849507650938,37.47079399024975,0.6248484412784342,504,core_geo_search,Core + Geo + Search
ablation2_tensors,core_geo_search,GConvLSTM,6,quadrant,High CPC / Low Vol,1.1640168962846653,0.8609752571433951,23.864660874701354,0.8822038282203389,504,core_geo_search,Core + Geo + Search
ablation2_tensors,core_geo_search,GConvLSTM,6,quadrant,High CPC / High Vol,2.4140287722197122,1.5475367106832119,39.07471738912975,1.4578127221054236,402,core_geo_search,Core + Geo + Search
ablation2_tensors,core_geo_search,GraphWaveNet,12,overall,All,1.6617874380820477,1.052789531573224,38.220960934834984,0.6599169641526614,1811,core_geo_search,Core + Geo + Search
ablation2_tensors,core_geo_search,GraphWaveNet,12,tercile,Low,1.1403149002792838,0.8023231652441906,27.190933166283298,0.5413674720533193,604,core_geo_search,Core + Geo + Search
ablation2_tensors,core_geo_search,GraphWaveNet,12,tercile,Medium,1.5323050043042645,1.0271871597738784,36.35209546849823,0.6810711342673359,603,core_geo_search,Core + Geo + Search
ablation2_tensors,core_geo_search,GraphWaveNet,12,tercile,High,2.1530562084789855,1.328815881668823,51.116760021600385,0.8014379945550167,604,core_geo_search,Core + Geo + Search
ablation2_tensors,core_geo_search,GraphWaveNet,12,quadrant,Low CPC / Low Vol,0.7699919647430572,0.544347611948352,29.3417632176242,0.3970208474637622,401,core_geo_search,Core + Geo + Search
ablation2_tensors,core_geo_search,GraphWaveNet,12,quadrant,Low CPC / High Vol,1.1649171215187955,0.7847646696539031,45.91320901903486,0.5250772428675528,504,core_geo_search,Core + Geo + Search
ablation2_tensors,core_geo_search,GraphWaveNet,12,quadrant,High CPC / Low Vol,1.4045241671939437,1.024151673079315,27.994037319030955,0.7322906512633989,504,core_geo_search,Core + Geo + Search
ablation2_tensors,core_geo_search,GraphWaveNet,12,quadrant,High CPC / High Vol,2.770319573608037,1.9319020212693476,50.25587325456144,1.480992345731351,402,core_geo_search,Core + Geo + Search
ablation2_tensors,core_geo_search,GraphWaveNet,1,overall,All,1.179434522466052,0.6890396329599822,25.7237485870405,0.6809490363641808,1811,core_geo_search,Core + Geo + Search
ablation2_tensors,core_geo_search,GraphWaveNet,1,tercile,Low,0.7419419617461138,0.4957963640735644,17.193766796912495,0.5349259438251457,604,core_geo_search,Core + Geo + Search
ablation2_tensors,core_geo_search,GraphWaveNet,1,tercile,Medium,1.0497050529278036,0.6777519772829372,25.084038597287222,0.7082619692933809,603,core_geo_search,Core + Geo + Search
ablation2_tensors,core_geo_search,GraphWaveNet,1,tercile,High,1.5875641789682275,0.8935518693517938,34.892381244422175,0.8565224604809003,604,core_geo_search,Core + Geo + Search
ablation2_tensors,core_geo_search,GraphWaveNet,1,quadrant,Low CPC / Low Vol,0.5420751154352863,0.3529926073418151,19.56910265195874,0.3611915645235147,401,core_geo_search,Core + Geo + Search
ablation2_tensors,core_geo_search,GraphWaveNet,1,quadrant,Low CPC / High Vol,0.8241675589314257,0.510271412352661,31.644174678808124,0.5538340396281505,504,core_geo_search,Core + Geo + Search
ablation2_tensors,core_geo_search,GraphWaveNet,1,quadrant,High CPC / Low Vol,0.9874073817624217,0.6834915110913976,18.724378026582333,0.7408766047607374,504,core_geo_search,Core + Geo + Search
ablation2_tensors,core_geo_search,GraphWaveNet,1,quadrant,High CPC / High Vol,1.9747526324113924,1.2553338963449108,33.215790955666904,1.3128475506726565,402,core_geo_search,Core + Geo + Search
ablation2_tensors,core_geo_search,GraphWaveNet,6,overall,All,1.3406221405630143,0.8028269595487605,30.14564200275617,0.7241228448378977,1811,core_geo_search,Core + Geo + Search
ablation2_tensors,core_geo_search,GraphWaveNet,6,tercile,Low,0.8609601133490419,0.598109181173655,21.36868655790037,0.5988544408797172,604,core_geo_search,Core + Geo + Search
ablation2_tensors,core_geo_search,GraphWaveNet,6,tercile,Medium,1.1662275388969015,0.7726225616637254,29.009725543126702,0.7595609128818819,603,core_geo_search,Core + Geo + Search
ablation2_tensors,core_geo_search,GraphWaveNet,6,tercile,High,1.8137641446329777,1.037699128527634,40.056633250851306,0.903081179386364,604,core_geo_search,Core + Geo + Search
ablation2_tensors,core_geo_search,GraphWaveNet,6,quadrant,Low CPC / Low Vol,0.610966462945638,0.4223325823650331,24.322864330515795,0.4075714342915029,401,core_geo_search,Core + Geo + Search
ablation2_tensors,core_geo_search,GraphWaveNet,6,quadrant,Low CPC / High Vol,0.884583741550747,0.5929294628720296,37.024879507571015,0.5986124631425395,504,core_geo_search,Core + Geo + Search
ablation2_tensors,core_geo_search,GraphWaveNet,6,quadrant,High CPC / Low Vol,1.1193748292146142,0.7997082429664097,22.318444897594503,0.8429860670666325,504,core_geo_search,Core + Geo + Search
ablation2_tensors,core_geo_search,GraphWaveNet,6,quadrant,High CPC / High Vol,2.2742777567248766,1.4494399364971473,37.142421816545166,1.4287177308367323,402,core_geo_search,Core + Geo + Search
ablation2_tensors,core_geo_sem_pc,AGCRN,12,overall,All,1.6273795930264074,1.1034480846618375,39.50835504789333,0.7378010687858318,1811,core_geo_sem_pc,Core + Geo + Sem PC
ablation2_tensors,core_geo_sem_pc,AGCRN,12,tercile,Low,1.1799962291843265,0.8691241009336682,28.57818005266835,0.6363454460990766,604,core_geo_sem_pc,Core + Geo + Sem PC
ablation2_tensors,core_geo_sem_pc,AGCRN,12,tercile,Medium,1.4603826036976033,1.0400803840307558,36.55897221666497,0.7486394424970444,603,core_geo_sem_pc,Core + Geo + Sem PC
ablation2_tensors,core_geo_sem_pc,AGCRN,12,tercile,High,2.1021728875478884,1.4010348556094474,53.38302979018903,0.8780844829149335,604,core_geo_sem_pc,Core + Geo + Sem PC
ablation2_tensors,core_geo_sem_pc,AGCRN,12,quadrant,Low CPC / Low Vol,0.7584682128715589,0.5307865818695594,28.41856482879933,0.3899261080351706,401,core_geo_sem_pc,Core + Geo + Sem PC
ablation2_tensors,core_geo_sem_pc,AGCRN,12,quadrant,Low CPC / High Vol,1.2216098875715313,0.8130550316304346,47.12677312730105,0.5772517044454243,504,core_geo_sem_pc,Core + Geo + Sem PC
ablation2_tensors,core_geo_sem_pc,AGCRN,12,quadrant,High CPC / Low Vol,1.491475997416766,1.1838369568437774,31.805741590806647,0.9968136643486247,504,core_geo_sem_pc,Core + Geo + Sem PC
ablation2_tensors,core_geo_sem_pc,AGCRN,12,quadrant,High CPC / High Vol,2.5878687151701563,1.9379738801042077,50.67611710810951,1.5531792625627965,402,core_geo_sem_pc,Core + Geo + Sem PC
ablation2_tensors,core_geo_sem_pc,AGCRN,1,overall,All,1.2147442072040542,0.7263112759016737,26.945818293343653,0.713438315259152,1811,core_geo_sem_pc,Core + Geo + Sem PC
ablation2_tensors,core_geo_sem_pc,AGCRN,1,tercile,Low,0.7731748764421231,0.5302167379297961,18.372377842124965,0.5692518782339329,604,core_geo_sem_pc,Core + Geo + Sem PC
ablation2_tensors,core_geo_sem_pc,AGCRN,1,tercile,Medium,1.0788472622089238,0.7176521848037458,26.39441354545049,0.7723926219890377,603,core_geo_sem_pc,Core + Geo + Sem PC
ablation2_tensors,core_geo_sem_pc,AGCRN,1,tercile,High,1.6323552357225128,0.9310505687279395,36.06975057068746,0.8847278892640295,604,core_geo_sem_pc,Core + Geo + Sem PC
ablation2_tensors,core_geo_sem_pc,AGCRN,1,quadrant,Low CPC / Low Vol,0.5600125539482157,0.37306127571786235,20.945067114806577,0.37673535476040726,401,core_geo_sem_pc,Core + Geo + Sem PC
ablation2_tensors,core_geo_sem_pc,AGCRN,1,quadrant,Low CPC / High Vol,0.8462768140939053,0.5286160188600568,32.73648988036763,0.5738169935171421,504,core_geo_sem_pc,Core + Geo + Sem PC
ablation2_tensors,core_geo_sem_pc,AGCRN,1,quadrant,High CPC / Low Vol,1.0336281223198744,0.7377832279044825,19.993592879287014,0.7871077021159855,504,core_geo_sem_pc,Core + Geo + Sem PC
ablation2_tensors,core_geo_sem_pc,AGCRN,1,quadrant,High CPC / High Vol,2.0241911494005986,1.312156539118757,34.38791867000493,1.4045893644411236,402,core_geo_sem_pc,Core + Geo + Sem PC
ablation2_tensors,core_geo_sem_pc,AGCRN,6,overall,All,1.3690644154098417,0.8255040205957552,30.77574376893625,0.7439046310924042,1811,core_geo_sem_pc,Core + Geo + Sem PC
ablation2_tensors,core_geo_sem_pc,AGCRN,6,tercile,Low,0.868626943819954,0.6166424511385291,21.88144714573279,0.6115478778946388,604,core_geo_sem_pc,Core + Geo + Sem PC
ablation2_tensors,core_geo_sem_pc,AGCRN,6,tercile,Medium,1.1788042936951855,0.7993893507633456,29.751589930802968,0.7854992503382469,603,core_geo_sem_pc,Core + Geo + Sem PC
ablation2_tensors,core_geo_sem_pc,AGCRN,6,tercile,High,1.8649711019486268,1.0604370236770595,40.692498611335694,0.9143996895065158,604,core_geo_sem_pc,Core + Geo + Sem PC
ablation2_tensors,core_geo_sem_pc,AGCRN,6,quadrant,Low CPC / Low Vol,0.6089759457824904,0.4269489791590825,24.575508684522863,0.4246307993078301,401,core_geo_sem_pc,Core + Geo + Sem PC
ablation2_tensors,core_geo_sem_pc,AGCRN,6,quadrant,Low CPC / High Vol,0.8894055631293268,0.5979287590601808,37.503680818424726,0.6151503707057135,504,core_geo_sem_pc,Core + Geo + Sem PC
ablation2_tensors,core_geo_sem_pc,AGCRN,6,quadrant,High CPC / Low Vol,1.1428029433080646,0.8370706496866533,23.16154202011186,0.8430927452786372,504,core_geo_sem_pc,Core + Geo + Sem PC
ablation2_tensors,core_geo_sem_pc,AGCRN,6,quadrant,High CPC / High Vol,2.3334070045191586,1.493884424496807,38.07169321499364,1.4672642639534308,402,core_geo_sem_pc,Core + Geo + Sem PC
ablation2_tensors,core_geo_sem_pc,DCRNN,12,overall,All,1.61097841556803,1.0403236100530973,38.442486736630514,0.6778467561904353,1811,core_geo_sem_pc,Core + Geo + Sem PC
ablation2_tensors,core_geo_sem_pc,DCRNN,12,tercile,Low,1.1227236233347422,0.8027470744852343,27.623740592440516,0.5734915413323912,604,core_geo_sem_pc,Core + Geo + Sem PC
ablation2_tensors,core_geo_sem_pc,DCRNN,12,tercile,Medium,1.4955683338008876,1.0185269475919305,36.56717673875296,0.6835041751826123,603,core_geo_sem_pc,Core + Geo + Sem PC
ablation2_tensors,core_geo_sem_pc,DCRNN,12,tercile,High,2.070731224320384,1.2996607208926212,51.133438060820794,0.8290129377395412,604,core_geo_sem_pc,Core + Geo + Sem PC
ablation2_tensors,core_geo_sem_pc,DCRNN,12,quadrant,Low CPC / Low Vol,0.7923740014457867,0.5656154183903414,31.02462247180805,0.40941222154248846,401,core_geo_sem_pc,Core + Geo + Sem PC
ablation2_tensors,core_geo_sem_pc,DCRNN,12,quadrant,Low CPC / High Vol,1.181054872465691,0.7917618974437859,46.710793400131685,0.55251360131007,504,core_geo_sem_pc,Core + Geo + Sem PC
ablation2_tensors,core_geo_sem_pc,DCRNN,12,quadrant,High CPC / Low Vol,1.355343571508262,1.0064868808751533,27.68262546942108,0.7674548880311611,504,core_geo_sem_pc,Core + Geo + Sem PC
